0,1
0.06,0.94
1.0,0.0
0.98,0.02
0.94,0.06
0.91,0.09
0.96,0.04
0.99,0.01
0.12,0.88
0.94,0.06
0.98,0.02
0.95,0.05
1.0,0.0
0.92,0.08
0.02,0.98
0.15,0.85
0.99,0.01
0.92,0.08
0.97,0.03
0.26,0.74
0.93,0.07
0.98,0.02
0.92,0.08
0.96,0.04
0.09,0.91
1.0,0.0
0.96,0.04
0.96,0.04
0.93,0.07
1.0,0.0
0.05,0.95
0.95,0.05
0.4,0.6
0.93,0.07
0.94,0.06
0.95,0.05
0.94,0.06
0.05,0.95
0.95,0.05
1.0,0.0
0.92,0.08
0.99,0.01
0.93,0.07
0.95,0.05
0.99,0.01
0.97,0.03
0.94,0.06
0.93,0.07
0.11,0.89
0.94,0.06
0.95,0.05
0.15,0.85
1.0,0.0
0.96,0.04
0.97,0.03
0.08,0.92
1.0,0.0
0.95,0.05
0.98,0.02
0.16,0.84
0.99,0.01
0.97,0.03
0.97,0.03
0.97,0.03
0.97,0.03
0.95,0.05
0.95,0.05
0.93,0.07
0.07,0.93
0.96,0.04
0.14,0.86
0.93,0.07
0.99,0.01
0.97,0.03
0.97,0.03
0.98,0.02
1.0,0.0
0.11,0.89
0.93,0.07
1.0,0.0
0.98,0.02
0.98,0.02
1.0,0.0
0.97,0.03
0.99,0.01
0.14,0.86
0.93,0.07
0.92,0.08
0.95,0.05
0.93,0.07
1.0,0.0
1.0,0.0
0.18,0.82
0.97,0.03
0.94,0.06
0.92,0.08
0.06,0.94
0.97,0.03
0.94,0.06
1.0,0.0
0.95,0.05
0.0,1.0
0.96,0.04
0.09,0.91
0.02,0.98
0.96,0.04
0.97,0.03
0.21,0.79
0.04,0.96
0.97,0.03
0.94,0.06
0.1,0.9
0.95,0.05
0.97,0.03
0.95,0.05
0.94,0.06
0.94,0.06
0.94,0.06
0.93,0.07
0.97,0.03
0.94,0.06
1.0,0.0
0.95,0.05
0.97,0.03
1.0,0.0
1.0,0.0
0.93,0.07
1.0,0.0
0.96,0.04
1.0,0.0
0.96,0.04
1.0,0.0
0.98,0.02
0.93,0.07
0.15,0.85
0.94,0.06
0.25,0.75
0.97,0.03
0.96,0.04
0.06,0.94
0.92,0.08
1.0,0.0
0.96,0.04
0.96,0.04
1.0,0.0
1.0,0.0
0.95,0.05
1.0,0.0
0.96,0.04
0.95,0.05
1.0,0.0
0.95,0.05
0.92,0.08
1.0,0.0
0.96,0.04
0.92,0.08
0.94,0.06
0.98,0.02
0.98,0.02
0.99,0.01
0.99,0.01
0.99,0.01
